
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus               Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

29471m573              Nan        Nan        Nan          0       Nan         0
29465m573              Nan        Nan        Nan          0       Nan         0
29472m573              Nan        Nan        Nan          0       Nan         0
29289m573              Nan        Nan        Nan          0       Nan         0
29294m573              Nan        Nan        Nan          0       Nan         0
29641m573              Nan        Nan        Nan          0       Nan         0
29679m573              Nan        Nan        Nan          0       Nan         0
29826m573              Nan        Nan        Nan          0       Nan         0
29948m573              Nan        Nan        Nan          0       Nan         0
30005m573              Nan        Nan        Nan          0       Nan         0
30071m573              Nan        Nan        Nan          0       Nan         0
18468m573              Nan        Nan        Nan          0       Nan         0
29354m573              Nan        Nan        Nan          0       Nan         0
30278m573              Nan        Nan        Nan          0       Nan         0
30435m573              Nan        Nan        Nan          0       Nan         0
18330m573              Nan        Nan        Nan          0       Nan         0
28963m573              Nan        Nan        Nan          0       Nan         0
104803536m573          Nan        Nan        Nan          0       Nan         0
104803537m573          Nan        Nan        Nan          0       Nan         0
104803551m573          Nan        Nan        Nan          0       Nan         0
104849831m573          Nan        Nan        Nan          0       Nan         0
104902315m573          Nan        Nan        Nan          0       Nan         0
104902316m573          Nan        Nan        Nan          0       Nan         0
28596m573              Nan        Nan        Nan          0       Nan         0
23763m573              Nan        Nan        Nan          0       Nan         0
418689m573             Nan        Nan        Nan          0       Nan         0
23832m573              Nan        Nan        Nan          0       Nan         0
23812m573              Nan        Nan        Nan          0       Nan         0
23797m573              Nan        Nan        Nan          0       Nan         0
23901m573              Nan        Nan        Nan          0       Nan         0
509452m573             Nan        Nan        Nan          0       Nan         0
606937m573             Nan        Nan        Nan          0       Nan         0
28413m573              Nan        Nan        Nan          0       Nan         0
12567353bf52285        Nan        Nan        Nan          0       Nan         0
104424872bf34477       Nan        Nan        Nan          0       Nan         0
23883bf11355           Nan        Nan        Nan          0       Nan         0
28858bf49107           Nan        Nan        Nan          0       Nan         0
9442785bf29510         Nan        Nan        Nan          0       Nan         0
30108bf07117           Nan        Nan        Nan          0       Nan         0
28351bf23067           Nan        Nan        Nan          0       Nan         0
23832bf17276           Nan        Nan        Nan          0       Nan         0
29376bf02791           Nan        Nan        Nan          0       Nan         0
28573bf03557           Nan        Nan        Nan          0       Nan         0
28923bf06570           Nan        Nan        Nan          0       Nan         0
13404855bf53752        Nan        Nan        Nan          0       Nan         0
104810282bf60531       Nan        Nan        Nan          0       Nan         0
104017200bf32334       Nan        Nan        Nan          0       Nan         0
23292bf24261           Nan        Nan        Nan          0       Nan         0
23558bf21453           Nan        Nan        Nan          0       Nan         0
28478bf06588           Nan        Nan        Nan          0       Nan         0
23831bf17275           Nan        Nan        Nan          0       Nan         0
3642079bf29620         Nan        Nan        Nan          0       Nan         0
23901bf50936           Nan        Nan        Nan          0       Nan         0
23866bf06589           Nan        Nan        Nan          0       Nan         0
23417bf02949           Nan        Nan        Nan          0       Nan         0
29447bf14769           Nan        Nan        Nan          0       Nan         0
29573bf38518           Nan        Nan        Nan          0       Nan         0
28621bf27537           Nan        Nan        Nan          0       Nan         0
274111bf14770          Nan        Nan        Nan          0       Nan         0
29331bf34351           Nan        Nan        Nan          0       Nan         0
18477bf27538           Nan        Nan        Nan          0       Nan         0
104902316bf33721       Nan        Nan        Nan          0       Nan         0
23014bf19573           Nan        Nan        Nan          0       Nan         0
28596bf22801           Nan        Nan        Nan          0       Nan         0
23434bf17699           Nan        Nan        Nan          0       Nan         0
22888bf19572           Nan        Nan        Nan          0       Nan         0
9442787bf48138         Nan        Nan        Nan          0       Nan         0
23547bf06629           Nan        Nan        Nan          0       Nan         0
606937bf26713          Nan        Nan        Nan          0       Nan         0
22979bf22455           Nan        Nan        Nan          0       Nan         0
12336728bf49127        Nan        Nan        Nan          0       Nan         0
12724416bf54193        Nan        Nan        Nan          0       Nan         0
22929bf19574           Nan        Nan        Nan          0       Nan         0
104803551bf36411       Nan        Nan        Nan          0       Nan         0
29017bf02794           Nan        Nan        Nan          0       Nan         0
12706676bf54131        Nan        Nan        Nan          0       Nan         0
29691bf17533           Nan        Nan        Nan          0       Nan         0
9628434bf31736         Nan        Nan        Nan          0       Nan         0
9637403bf31751         Nan        Nan        Nan          0       Nan         0
12080024bf38514        Nan        Nan        Nan          0       Nan         0
104324852bf34085       Nan        Nan        Nan          0       Nan         0
104849831bf36631       Nan        Nan        Nan          0       Nan         0
12520859bf51496        Nan        Nan        Nan          0       Nan         0
